Hand,Rank,OrderedRank
8,4,4,X,X,X,16,1
7,7,2,X,X,X,16,1
7,6,3,X,X,X,16,1
7,5,4,X,X,X,16,1
6,6,4,X,X,X,16,1
6,5,5,X,X,X,16,1
K,6,X,X,X,X,16,1
Q,6,X,X,X,X,16,1
J,6,X,X,X,X,16,1
T,6,X,X,X,X,16,1
9,7,X,X,X,X,16,1
8,8,X,X,X,X,16,1
A,A,A,A,K,3,17,1
A,A,A,A,Q,3,17,1
A,A,A,A,J,3,17,1
A,A,A,A,T,3,17,1
A,A,A,A,9,4,17,1
A,A,A,A,8,5,17,1
A,A,A,A,7,6,17,1
A,A,A,K,2,2,17,1
A,A,A,Q,2,2,17,1
A,A,A,J,2,2,17,1
A,A,A,T,2,2,17,1
A,A,A,9,3,2,17,1
A,A,A,8,4,2,17,1
A,A,A,8,3,3,17,1
A,A,A,7,5,2,17,1
A,A,A,7,4,3,17,1
A,A,A,6,6,2,17,1
A,A,A,6,5,3,17,1
A,A,A,6,4,4,17,1
A,A,A,5,5,4,17,1
A,A,9,2,2,2,17,1
A,A,8,3,2,2,17,1
A,A,7,4,2,2,17,1
A,A,7,3,3,2,17,1
A,A,6,5,2,2,17,1
A,A,6,4,3,2,17,1
A,A,6,3,3,3,17,1
A,A,5,5,3,2,17,1
A,A,5,4,4,2,17,1
A,A,5,4,3,3,17,1
A,A,4,4,4,3,17,1
A,8,2,2,2,2,17,1
A,7,3,2,2,2,17,1
A,6,4,2,2,2,17,1
A,6,3,3,2,2,17,1
A,5,5,2,2,2,17,1
A,5,4,3,2,2,17,1
A,5,3,3,3,2,17,1
A,4,4,4,2,2,17,1
A,4,4,3,3,2,17,1
A,4,3,3,3,3,17,1
6,3,2,2,2,2,17,1
5,4,2,2,2,2,17,1
5,3,3,2,2,2,17,1
4,4,3,2,2,2,17,1
4,3,3,3,2,2,17,1
A,A,A,K,4,X,17,1
A,A,A,Q,4,X,17,1
A,A,A,J,4,X,17,1
A,A,A,T,4,X,17,1
A,A,A,9,5,X,17,1
A,A,A,8,6,X,17,1
A,A,A,7,7,X,17,1
A,A,K,3,2,X,17,1
A,A,Q,3,2,X,17,1
A,A,J,3,2,X,17,1
A,A,T,3,2,X,17,1
A,A,9,4,2,X,17,1
A,A,9,3,3,X,17,1
A,A,8,5,2,X,17,1
A,A,8,4,3,X,17,1
A,A,7,6,2,X,17,1
A,A,7,5,3,X,17,1
A,A,7,4,4,X,17,1
A,A,6,6,3,X,17,1
A,A,6,5,4,X,17,1
A,A,5,5,5,X,17,1
A,K,2,2,2,X,17,1
A,Q,2,2,2,X,17,1
A,J,2,2,2,X,17,1
A,T,2,2,2,X,17,1
A,9,3,2,2,X,17,1
A,8,4,2,2,X,17,1
A,8,3,3,2,X,17,1
A,7,5,2,2,X,17,1
A,7,4,3,2,X,17,1
A,7,3,3,3,X,17,1
A,6,6,2,2,X,17,1
A,6,5,3,2,X,17,1
A,6,4,4,2,X,17,1
A,6,4,3,3,X,17,1
A,5,5,4,2,X,17,1
A,5,5,3,3,X,17,1
A,5,4,4,3,X,17,1
A,4,4,4,4,X,17,1
9,2,2,2,2,X,17,1
8,3,2,2,2,X,17,1
7,4,2,2,2,X,17,1
7,3,3,2,2,X,17,1
6,5,2,2,2,X,17,1
6,4,3,2,2,X,17,1
6,3,3,3,2,X,17,1
5,5,3,2,2,X,17,1
5,4,4,2,2,X,17,1
5,4,3,3,2,X,17,1
5,3,3,3,3,X,17,1
4,4,4,3,2,X,17,1
4,4,3,3,3,X,17,1
A,A,K,5,X,X,17,1
A,A,Q,5,X,X,17,1
A,A,J,5,X,X,17,1
A,A,T,5,X,X,17,1
A,A,9,6,X,X,17,1
A,A,8,7,X,X,17,1
A,K,4,2,X,X,17,1
A,K,3,3,X,X,17,1
A,Q,4,2,X,X,17,1
A,Q,3,3,X,X,17,1
A,J,4,2,X,X,17,1
A,J,3,3,X,X,17,1
A,T,4,2,X,X,17,1
A,T,3,3,X,X,17,1
